"rep","run","bf_no_rvar","bf_rvar"
41,3,3.85992892669173e-18,1873681.14085567
42,3,2.23481172171683e-16,41602.9384749216
43,3,1.06110186076051e-16,46184.0262847206
44,3,1.65067570311476e-17,4886142.97395403
45,3,1.10467112075033e-17,5143.92708617592
46,3,4.88673247163024e-16,19257.2441407027
47,3,1.9916808646024e-21,51427711.344709
48,3,3.29209529392011e-24,12.6017168601811
49,3,1.66934062158549e-18,348248599.557794
50,3,1.98854137224753e-16,19656.6722514589
51,3,7.82683092489439e-21,66227343187.6226
52,3,2.26211097538311e-20,409159.418137426
53,3,2.78522238097086e-16,82413059.4438244
54,3,1.55867472710277e-17,86726618.9426862
55,3,5.25281597829245e-19,122552478682.976
56,3,5.87005071001409e-21,1578330559.92087
57,3,2.53446611501523e-22,3305123574100.11
58,3,2.55015780332306e-23,3812728.84011795
59,3,2.09288225301887e-16,83144598.8923303
60,3,2.08719695527968e-21,1180592561.27226
61,3,3.27511551776814e-19,121171483.335399
62,3,9.67114451802552e-19,5164135234.53451
63,3,1.62003608330316e-18,6331450472127.51
64,3,2.7658794760869e-19,161799.027986502
65,3,3.75279899481218e-20,14677307.2063264
66,3,1.23272747720474e-16,46348.4570224909
67,3,1.37386528720061e-15,696.668983992486
68,3,9.7602098083754e-23,490891012.158156
69,3,2.48525633334219e-18,551167.604797622
70,3,5.76155961665732e-13,2122896.17259104
71,3,4.48377242837056e-22,476260148776.632
72,3,1.13782835838238e-19,13141.4888362631
73,3,3.79517488819577e-21,4310266395.10373
74,3,1.31013031907143e-14,676.297679022523
75,3,8.16827869153501e-18,9754.06539223768
76,3,1.79700350191443e-18,4512251.6348901
77,3,1.16846247691066e-14,13345400223.7587
78,3,1.37971082665226e-17,431648253354.776
79,3,1.79435666841787e-18,9086406.69836502
80,3,7.60531430911696e-19,55.9803816779973
81,3,1.17470685412123e-17,14010958829.8958
82,3,4.97808229856267e-17,259997.382709135
83,3,6.9513432752103e-22,293319072.202869
84,3,6.93631181827805e-15,214885.154735563
85,3,3.05191214315758e-19,15138756.9654265
86,3,1.42166323716508e-18,5305353.00297217
87,3,1.52818854364803e-18,75161922476.6963
88,3,2.54654110266973e-23,87048.0537002452
89,3,7.94326154624606e-21,140042622643.274
90,3,4.23522065009039e-20,1563.81743832849
91,3,2.70227931900782e-21,110567110193.69
92,3,9.33572951029175e-20,336412.051442073
93,3,6.49007934521921e-14,569800726989.001
94,3,2.0572893436123e-16,412767.291961903
95,3,1.05587119549289e-16,48296126.835634
96,3,1.33745254696122e-21,14906440190.7603
97,3,1.01565244140458e-16,145030201822.877
98,3,5.017699296634e-19,72126696938.764
99,3,1.92193740792917e-18,5951.435576972
100,3,5.58494479106173e-16,55256.5312111805
1,4,2.24992084225044e-22,83203275.9397166
2,4,8.44087194431622e-16,162043366208.076
3,4,1.65153521249794e-18,670151647.881326
4,4,1.16377861183155e-22,26889279427.0406
5,4,2.74902660984171e-12,Inf
6,4,1.96755606494269e-17,943734699829.909
7,4,1.20045749900575e-20,1901809613712.51
8,4,3.67274524541204e-19,22004905.574182
9,4,4.53967414239468e-19,3098538727385.32
10,4,1.62032239579487e-23,9719320309432.75
11,4,4.13270498414167e-21,7226144166.17345
12,4,3.14998349593712e-16,7564141190408.59
13,4,2.52189993872668e-16,511120143.702466
14,4,2.40029042385022e-16,101468502316.981
15,4,5.16028558808772e-20,3018937.39015918
16,4,1.88646786187097e-15,3662413094.69795
17,4,1.03140280047572e-17,1123959506289
18,4,2.54147805379272e-14,25113174599987.4
19,4,2.2279106134436e-21,5376728152138.48
20,4,6.01443964026952e-21,842952256961.489
21,4,5.58040843070355e-21,16774330606851.4
22,4,4.71943073197587e-19,207690925493.42
23,4,1.10824211793011e-19,161596815.309707
24,4,2.90077689480507e-19,5534209857335.67
25,4,6.42801342193475e-18,191589040532101760
26,4,5.43944960650491e-20,Inf
27,4,4.72441273751933e-14,85775254854203.2
28,4,9.01303120813667e-17,4851004078568.73
29,4,1.27505888507121e-19,64682926.0622281
30,4,1.71779081753358e-23,6133394008.67359
31,4,4.86113676364197e-17,3483632402.83322
32,4,2.72169742015225e-18,35469114204228.6
33,4,8.61409297388768e-22,17409698515.967
34,4,2.82772908428727e-17,3721635966.96938
35,4,6.55697761012687e-20,39703905.3704212
36,4,5.57663969570121e-14,1811678763334.7
37,4,1.92611514224392e-16,474247933.126175
38,4,7.80672122653403e-20,144397783.433405
39,4,4.45815233891833e-20,24007200110.6357
40,4,2.52761512650844e-18,71689304768848.7
41,4,3.35397427582726e-15,1591339427665.99
42,4,1.00673543555458e-19,3395087723386842
43,4,1.26232109220775e-17,Inf
44,4,5.80453794695274e-23,1123916.59291222
45,4,1.13157761373696e-17,40272540900.0496
46,4,9.82664324628805e-20,Inf
47,4,1.58630815241948e-18,330308510.937297
48,4,2.04447164878191e-14,316075977039.148
49,4,2.25544343714588e-23,2519120133003.58
50,4,5.52358878333855e-18,957089301.987342
51,4,2.16692150719439e-18,1084991397278.16
52,4,1.18191469413715e-15,90845018.0451088
53,4,4.84229579369483e-22,23692446.7246722
54,4,2.64102213205243e-19,11891051928371.8
55,4,1.17050751760157e-17,3454641778119.08
56,4,9.80498076254363e-20,13623819298765.8
57,4,3.45335748837277e-17,273198079.940386
58,4,2.14151723844133e-12,1465473475.04725
59,4,2.89840935003673e-12,Inf
60,4,3.78919287339276e-15,45793763536948.1
61,4,8.37547531052635e-16,12681422694797.3
62,4,5.51796066266327e-20,1802998785.17844
63,4,1.2840119516317e-20,103403599488.367
64,4,3.14293386162076e-18,Inf
65,4,6.89082502315899e-20,22580891431.9579
66,4,1.97742785022686e-16,2011558287116.06
67,4,2.17578221576403e-17,57679367288462.3
68,4,2.11225373192566e-22,15078291823.7584
69,4,2.51185264905882e-19,1617982343801.54
70,4,9.86911685728492e-18,2158823375158.71
71,4,6.95734444953777e-14,28727641853.9215
72,4,1.49202498614767e-19,239160776526.069
73,4,3.64865077981201e-17,82910030807.3852
74,4,1.17377184510855e-19,2977687469.28004
75,4,8.62012220437316e-17,10723808046.7517
76,4,1.6864813104611e-21,1904024529755.64
77,4,6.54213779031897e-23,11920216.3308584
78,4,2.44863791792369e-20,25727327139.5843
79,4,1.4376156345906e-18,2036622000.93138
80,4,9.11590959328358e-16,62740312.6516035
81,4,1.34545080127935e-18,28599191.0805985
82,4,1.22997794179809e-21,11625380.893847
83,4,7.6580505673951e-20,103841613483.46
84,4,3.33762789161503e-20,193641758863687
85,4,5.67697607554813e-19,215125633571913
86,4,6.65281045116258e-20,1221920991432814
87,4,3.49564681291667e-19,68809968936772.4
88,4,6.6032976916115e-14,Inf
89,4,3.81728561074846e-17,1893477098.20014
90,4,4.57414277971524e-24,355042542482403
91,4,2.39613413235928e-19,261753384404.828
92,4,3.86208539712465e-15,871794013502.374
93,4,7.81554447135558e-23,365479516065.514
94,4,5.17675790859323e-15,103657994.95801
95,4,3.76996689955489e-17,129143584516.369
96,4,1.88692072859464e-18,2432641768505036
97,4,3.91926020613291e-18,815266654199.614
98,4,1.54671805006697e-17,7289034234868675
99,4,3.92888340986085e-15,234413169630.285
100,4,2.57296779597608e-20,425633119432.146
1,5,9.11867282602663e-20,419643052350.663
2,5,7.47518905859241e-23,3918818923615057920
3,5,2.26368606872086e-22,7988403542406.34
4,5,1.67388798787713e-22,2177717207761290
5,5,1.22913405047576e-20,5926462169366846
6,5,1.73630683451683e-13,4132245503506201600
7,5,1.40074257220874e-18,1310331331188167936
8,5,1.17015455015818e-13,69896680789754992
9,5,1.67058742023697e-16,389695981385705024
10,5,7.96854163803122e-17,819534164102474
11,5,3.11092572345938e-21,2247223254757869312
12,5,2.69350319328874e-18,954798761238047
13,5,4.77099807080977e-22,1.14253786591028e+23
14,5,6.62079871223034e-18,942859976187273856
15,5,4.91078865727351e-20,5199015738813301760
16,5,9.46371566566873e-22,2.39754140232242e+20
17,5,3.25390298935776e-20,21933394169826996
18,5,2.30308856610577e-18,1126634563642060
19,5,1.60284260746641e-18,1097370730407974
20,5,2.25352632861061e-15,1294856217945773
21,5,1.19237450985404e-18,13207001356097.7
22,5,8.3697246334947e-16,317523372740866624
23,5,5.08441808096754e-18,189597285032459
24,5,8.83169452007259e-17,2224720333671586
25,5,3.96344297121355e-22,1651728908125450496
26,5,1.97279454745731e-18,612509231661694080
27,5,1.61655630440983e-19,55645056190447992
28,5,1.45479330668584e-12,41246004565469855744
29,5,2.45192592206835e-18,268203256347.527
30,5,2.40797001820887e-21,47019195988517.8
31,5,3.60733524225038e-21,58078668105565264
32,5,1.06434617663351e-18,61809457046981128
33,5,1.16086980944163e-17,12602570426696.9
34,5,2.92004151999929e-17,14490324712624.9
35,5,6.23460708314806e-21,308948917834517
36,5,6.50377810552985e-19,2091353423601432
37,5,4.73328859056517e-17,528903530513360
38,5,1.00635957269413e-19,12442502015354008
39,5,1.3696970077464e-24,6.50434512898182e+20
40,5,5.95563753944774e-14,308328013079200
41,5,3.73670667757492e-19,187259205383940832
