"rep","run","trial","bf_no_rvar","bf_rvar"
9,7,4,8.66129511197445e-12,312192720610.34
9,7,5,2.445499835502e-05,25925800226163336
9,7,6,1.20708358601494e-25,43212539.1136792
9,7,7,4.5163885153695e-21,99920213.771568
9,7,8,6.18399091002053e-14,278102359.611856
9,7,9,2.58941813491417e-17,3102654943049434
9,7,10,7.95576282036219e-18,19968273126538.8
9,7,11,2.49577097293708e-17,14402950884.0505
9,7,12,2.07109597511508e-19,1.3886849735416e+22
9,7,13,1.01291264888671e-13,41090832.6691891
9,7,14,3.62853558851923e-18,4647.66811017334
9,7,15,2.66032177880852e-13,70.3245702337864
9,7,16,2.10604682977852e-13,2883851807569298
9,7,17,2.95823417413658e-12,21908.5016781171
9,7,18,3.2029504811345e-24,1.93990261746874e+22
9,7,19,4.21530991257317e-27,2944306093525378560
9,7,20,5.54448515248117e-16,113.290329733831
10,7,1,5.91563120227612e-24,186056825.755062
10,7,2,1.05457844908524e-19,256168.316389344
10,7,3,4.23233798004828e-28,1467473514794.59
10,7,4,1.88714265148066e-16,48381492237.9033
10,7,5,4.66633424713801e-12,239896489726072
10,7,6,7.51710730544564e-28,165.75237391424
10,7,7,2.38500976421826e-22,19779848.2207486
10,7,8,1.71373232987878e-20,108.684599108311
10,7,9,7.2633215698694e-24,877881616655.273
10,7,10,2.96093393921153e-21,67428903672309.8
10,7,11,2.84999570455606e-20,225535542818.791
10,7,12,8.6732396543859e-26,7757927868525982
10,7,13,6.24423887647272e-23,29552306.5190996
10,7,14,5.2419766889627e-25,361412579749.227
10,7,15,4.37635881836614e-13,3755.05650933403
10,7,16,1.16149986675827e-16,100112223102074416
10,7,17,6.48549779811099e-21,0.318817649953509
10,7,18,4.26892456240771e-26,3872453632621011
10,7,19,4.57338332903849e-24,1551854723.73498
10,7,20,1.20341246331213e-23,205202.646990664
11,7,1,1.35993906313847e-31,51930537804953.1
11,7,2,4.68313517910591e-22,2761668979479.37
